Optativas;Horas;Para cursar (Requisitos);Para aprobar/final (Requisitos);Ano de cursada
Bioquímica Clínica I (BC001);50;Bioquímica y Biología Molecular (B0001) Regularizada;Bioquímica y Biología Molecular (B0001) Regularizada;
Bioquímica Clínica II (BC002);50;Bioquímica y Biología Molecular (B0001) Regularizada;Bioquímica y Biología Molecular (B0001) Regularizada;
Bioética (BE001);50;Salud Pública - Módulo I (HG001) Aprobada;Salud Pública - Módulo I (HG001) Aprobada;
Biología (BG008);40;;;
Biología (BG013);50;;;
Calidad de la Atención Médica (CATME);60;Salud Pública - Módulo I (HG001) Aprobada;Salud Pública - Módulo I (HG001) Aprobada;
Cirugía de Tórax (CDT01);60;Cirugía I (C1001) Regularizada;Cirugía I (C1001) Regularizada;
Ciencias Exactas (CE001);60;;;
Discapacidad Intelectual (DISIN);60;Semiología (SEM91) Regularizada;Semiología (SEM91) Regularizada;
Ecología Humana y Promoción de la Salud (E0001);50;;;
Educación para la Salud (EDS13);50;Ciencias Sociales y Medicina (CS001) Regularizada;Ciencias Sociales y Medicina (CS001) Regularizada;
Enfermedades poco frecuentes en medicina (ENFPF);50;Patología (PT001) Aprobada + Semiología (SEM91) Aprobada;Patología (PT001) Aprobada + Semiología (SEM91) Aprobada;
Estadística Aplicada a Ciencias de la Salud (EACS1);60;Fisiología y Física Biológica (FB001) Aprobada + Epidemiología (EP001) Aprobada;Fisiología y Física Biológica (FB001) Aprobada + Epidemiología (EP001) Aprobada;
Filosofía Médica (FM001);50;Ciencias Sociales y Medicina (CS001) Regularizada;Ciencias Sociales y Medicina (CS001) Regularizada;
Genética (GE001);50;Biología (BIOL9) Regularizada;Biología (BIOL9) Regularizada;
Historia de la Medicina (HM001);60;;;
La Informática aplicada al análisis y presentación de trabajos científicos en Ciencias de la Salud (IAA01);50;Informática Básica (IFB01) Aprobada;;
Introducción a la Epistemología de la Salud (IES01);50;;;
Inmunología (IM001);50;Bioquímica y Biología Molecular (B0001) Regularizada + Fisiología y Física Biológica (FB001) Regularizada;Bioquímica y Biología Molecular (B0001) Regularizada + Fisiología y Física Biológica (FB001) Regularizada;
Literatura, Cine y Medicina (LCM01);60;;;
Medicina General y Familiar (MGF);70;Farmacología Básica (F9001) Regularizada + Microbiología y Parasitología (M0001) Regularizada + Semiología (SEM91) Aprobada + Patología (PT001) Aprobada;Farmacología Básica (F9001) Regularizada + Microbiología y Parasitología (M0001) Regularizada + Semiología (SEM91) Aprobada + Patología (PT001) Aprobada;
Neuroanatomía Semiológica (NEUAT);60;Anatomía (A0001) Aprobada + Fisiología y Física Biológica (FB001) Aprobada;Anatomía (A0001) Aprobada + Fisiología y Física Biológica (FB001) Aprobada;
Neurocirugía (NCG);60;Diagnóstico y Terapéutica por Imágenes - Módulo I (R9001) Aprobada + Diagnóstico y Terapéutica por Imágenes - Módulo II (R9002) Regularizada + Neurología (N0001) Regularizada + Ortopedia y Traumatología (OR001) Regularizada + Patología (PT001) Aprobada + Semiología (SEM91) Aprobada + Cirugía I (C1001) Aprobada + Otorrinolaringología (O0001) Regularizada;Diagnóstico y Terapéutica por Imágenes - Módulo I (R9001) Aprobada + Diagnóstico y Terapéutica por Imágenes - Módulo II (R9002) Regularizada + Neurología (N0001) Regularizada + Ortopedia y Traumatología (OR001) Regularizada + Patología (PT001) Aprobada + Semiología (SEM91) Aprobada + Cirugía I (C1001) Aprobada + Otorrinolaringología (O0001) Regularizada;
Nutrición Clínica (NUTRI);30;Bioquímica y Biología Molecular (B0001) Regularizada + Fisiología y Física Biológica (FB001) Regularizada;Bioquímica y Biología Molecular (B0001) Regularizada + Fisiología y Física Biológica (FB001) Regularizada;
El paciente con enfermedad crónica de alto impacto familiar (PENFC);60;Salud y Medicina Comunitaria (S0003) Regularizada + Psiquiatría - Módulo I (P9001) Regularizada;Salud y Medicina Comunitaria (S0003) Regularizada + Psiquiatría - Módulo I (P9001) Regularizada;
Proyecto de Investigación (PINV);60;;;
Salud Ambiental (SA001);50;Ciencias Sociales y Medicina (CS001) Regularizada;Ciencias Sociales y Medicina (CS001) Regularizada;
Seminario en Investigación Científica (SIC01);50;;;
Transplante de Órganos (T0100);100;Cirugía I (C1001) Regularizada + Semiología (SEM91) Regularizada;Cirugía I (C1001) Regularizada + Semiología (SEM91) Regularizada;
Taller de Salud Popular (TASPO);30;;;
Terapia Intensiva (TIN01);50;Cirugía I (C1001) Regularizada + Semiología (SEM91) Regularizada + Farmacología Básica (F9001) Regularizada;Cirugía I (C1001) Regularizada + Semiología (SEM91) Regularizada + Farmacología Básica (F9001) Regularizada;
